ID_sequencing,ID_Environmental,Longitude,Latitude,Continent,Clay_silt,Soil_C,Soil_N,Soil_P,Soil_C_N_ratio,pH,Aridity_Index,MDR,MAXT,MINT,PSEA,Forest,Grassland,Shrubland,UV_Light,NPP2003_2015,Ecosystem_type,Low_pH_cluster,Drylands_cluster,High_pH_cluster,Dry_forest_cluster,Low_productivity_cluster
22,22,-147.840,64.850,North_America,76.2,0.83,0.052,488.112,16.012,5.8,0.546,11.1,22.5,-27.1,53,1,0,0,2.369,0.321424953,Boreal,0.47101056,-0.674405941,-0.493862734,-0.463853753,-0.044981182
23,23,-65.800,18.300,North_America,76,5.335,0.385,259.228,13.859,4.97,2.184,8.7,26.4,14,25,1,0,0,11.258,0.717459314,Tropical forests,0.358520849,-0.748521097,-0.726885461,-0.577514222,-0.730370296
24,24,-79.083,35.967,North_America,43,4.979,0.074,560.438,67.519,5.37,0.914,13.2,31.5,-2.6,11,1,0,0,6.886,0.638289994,Temperate forests,-0.0681722,-0.472273417,-0.12657485,-0.424610159,-0.312884386
25,25,30.716,-29.812,Africa,50,5.001,0.336,347.846,14.884,5.2,0.732,10.9,26,7.3,55,0,1,0,9.783,0.589178231,Grasslands,0.380881911,-0.665920066,-0.730389005,-0.266224072,-0.609728037
26,26,151.140,-27.735,Australia,16.5,1.475,0.111,75.101,13.288,4.9,0.434,14.3,31.5,3.7,36,0,1,0,9.95,0.474197314,Grasslands,0.960294867,-0.708540949,-0.712075801,-0.221453965,-0.650958984
27,27,117.611,-31.782,Australia,20,1.397,0.081,138.207,17.248,5.1,0.219,13.9,33.4,4.9,55,1,0,0,8.999,0.29044541,Dry forests,0.538522212,-0.186109177,-0.651594141,0.306888377,-0.337181755
28,28,30.292,-29.284,Africa,58,22.38,1.263,909.357,17.72,5.2,0.78,12.3,22.3,0.3,67,0,1,0,10.233,0.60525441,Grasslands,0.476353132,-0.597008195,-0.730750961,-0.067376241,-0.675379489
29,29,30.400,-29.670,Africa,82.4,5.958,0.322,423.573,18.502,5.6,0.632,12.8,26.8,5.1,62,0,1,0,9.966,0.585518917,Grasslands,0.514837868,-0.632216441,-0.570035824,-0.48826121,-0.594935234
30,30,-86.702,36.872,North_America,71,1.608,0.13,426.527,12.373,5.4,1.054,12.6,31.4,-4.9,14,0,1,0,6.766,0.564117686,Grasslands,0.266866443,-0.60551,-0.611038102,-0.440577481,-0.655201837
31,31,-101.630,41.200,North_America,39.5,1.675,0.099,291.632,16.921,6.6,0.403,15,31.7,-11.8,60,0,1,0,6.641,0.339228787,Dry grasslands,-0.108905388,-0.502575991,-0.073466187,0.211606575,0.270135214
